code	speaker	gender	stim	rep	sent	metre_ID	stim_metre	ana_text	nuc_pre_text	ana_has_word_end	nuc_is_new_word	tot_syls	ana_syls	tot_feet	cur_foot	foot_syls	wrd_end_syl	acc_phon	phr_phon	init_phon	fin_phon	v_text	phr_end_t	ana_end_t	foot_start_t	foot_end_t	stress_end_t	wrd_fin_syl_start_t	wrd_end_t	v_onset_t	v_offset_t	s_t	e_t	l_t	h_t	l_syl_start_t	l_syl_end_t	h_syl_start_t	h_syl_end_t	v_grand_mean_t	l_grand_mean_t	h_grand_mean_t	s_grand_mean_t	e_grand_mean_t	v_syl	l_syl	h_syl	l_syl_ratio	h_syl_ratio	s_f0	e_f0	v_onset_f0	l_f0	h_f0	lh_slope	lh_slope_z	lh_mean_f0	lh_med_f0	utt_mean_f0	utt_slope	utt_slope_z	spkr_f0_mean	spkr_f0_SD	spkr_f0_min	spkr_f0_med	location
F5_MDC3_5	F5	F	MDC3	5	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	1	3	2	>H*	% >H* L*H L%	%	L%	V	1119	124	124	448	269	269	402	170	218	0	900	160	315	124	269	269	402	192	180	343	0	918	2	2	3	0.25	0.35	90.45	86.52	92.72	92.49	93.48	3.862	1.112	93.20	93.27	91.64	-1.132	-0.326	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDC3_5	F5	F	MDC3	5	I've HIDDen the VALuables	133	MDC3_133	?	?	?	?	7	1	2	2	3	3	L*H	% >H* L*H L%	%	L%	V	1119	124	448	1119	684	737	1119	508	623	0	900	573	802	448	684	737	1119	521	584	823	0	918	5	5	7	0.53	0.17	90.45	86.52	89.68	88.51	93.74	28.58	8.224	91.46	91.52	91.64	-1.132	-0.326	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_2	F5	F	MDQ1	2	You VALued the VASes?	132	MDQ1_132	?	?	?	?	6	1	2	1	3	2	^[L*H	% ^[L*H L*H] %	%	%	V	921	72	72	446	291	291	406	129	233	8	812	175	321	72	291	291	406	140	190	350	9	929	2	2	3	0.47	0.26	93.40	102.33	94.22	94.55	96.74	16.411	4.722	95.76	95.97	96.09	8.251	2.374	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_2	F5	F	MDQ1	2	You VALued the VASes?	132	MDQ1_132	?	?	?	?	6	1	2	2	2	2	L*H]	% ^[L*H L*H] %	%	%	V	921	72	446	921	725	725	921	503	656	8	812	549	771	446	725	725	921	568	618	872	9	929	5	5	6	0.37	0.23	93.40	102.33	93.97	94.01	103.10	48.143	13.854	97.79	96.97	96.09	8.251	2.374	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_3	F5	F	MDQ1	3	You VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	1	3	2	L*H	% L*H L*^[H] %	%	%	V	978	63	63	462	295	295	416	132	241	4	844	162	317	63	295	295	416	149	180	340	5	919	2	2	3	0.43	0.18	93.82	102.34	93.59	93.76	95.48	13.217	3.804	94.69	94.81	95.21	7.117	2.048	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_3	F5	F	MDQ1	3	You VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	2	2	2	L*^[H]	% L*H L*^[H] %	%	%	V	978	63	462	978	752	752	978	529	680	4	844	588	811	462	752	752	978	576	638	879	5	919	5	5	6	0.43	0.26	93.82	102.34	93.41	92.86	102.68	48.497	13.956	97.05	96.73	95.21	7.117	2.048	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_4	F5	F	MDQ1	4	You VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	1	3	2	L*H	% L*H L*^[H] %	%	%	V	979	54	54	456	284	284	415	116	228	0	852	173	328	54	284	284	415	142	201	360	0	923	2	2	3	0.52	0.34	92.09	101.71	93.44	93.59	95.46	13.591	3.911	94.50	94.52	94.92	7.114	2.047	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_4	F5	F	MDQ1	4	You VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	2	2	2	L*^[H]	% L*H L*^[H] %	%	%	V	979	54	456	979	759	759	979	521	689	0	852	594	799	456	759	759	979	571	644	858	0	923	5	5	6	0.46	0.18	92.09	101.71	92.86	91.99	101.41	50.922	14.654	96.72	96.63	94.92	7.114	2.047	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_5	F5	F	MDQ1	5	you VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	1	3	2	(*)	% (*) L*^[H L%]	%	L%]	V	1106	96	96	517	339	339	452	155	276	3	907	207	365	96	339	339	452	136	187	346	2	883	2	2	3	0.46	0.23	91.11	99.05	93.04	92.88	94.39	10.097	2.906	93.61	93.62	94.27	6.996	2.013	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_5	F5	F	MDQ1	5	you VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	2	2	2	L*^[H	% (*) L*^[H L%]	%	L%]	V	1106	96	517	1106	832	832	1106	566	744	3	907	646	857	517	832	832	1106	553	630	834	2	883	5	5	6	0.41	0.09	91.11	99.05	92.17	91.16	102.37	60.241	17.336	96.10	95.49	94.27	6.996	2.013	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_6	F5	F	MDQ1	6	you VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	1	3	2	(*)	% (*) L*^[H L%]	%	L%]	V	1103	95	95	488	332	332	456	150	260	4	912	204	353	95	332	332	456	133	187	338	3	900	2	2	3	0.46	0.17	92.44	99.29	93.57	93.19	94.16	5.226	1.504	93.68	93.72	94.77	8.01	2.305	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_6	F5	F	MDQ1	6	you VALued the VASes	132	MDQ1_132	?	?	?	?	6	1	2	2	2	2	L*^[H	% (*) L*^[H L%]	%	L%]	V	1103	95	488	1103	815	815	1103	564	749	4	912	642	854	488	815	815	1103	576	649	846	3	900	5	5	6	0.47	0.14	92.44	99.29	92.47	91.74	103.74	70.248	20.215	97.40	97.05	94.77	8.01	2.305	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r3	F5	F	MDQ2	r3	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	1	3	1	(*)	^[% (*) L*H %]	^[%	%]	V	856	89	89	410	256	89	256	140	201	3	755	394	187	360	410	89	256	134	382	183	3	710	2	4	2	0.68	0.59	98.57	105.70	100.33	97.19	99.48	-11.478	-3.303	98.39	98.41	99.77	5.577	1.605	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r3	F5	F	MDQ2	r3	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	2	2	2	L*H	^[% (*) L*H %]	^[%	%]	V	856	89	410	856	667	667	856	477	606	3	755	504	715	410	667	667	856	461	486	677	3	710	5	5	6	0.37	0.25	98.57	105.70	96.49	96.34	106.34	57.756	16.621	101.05	100.81	99.77	5.577	1.605	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r4	F5	F	MDQ2	r4	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	1	3	1	(*)	^[% (*) L*H %]	^[%	%]	V	815	119	119	418	269	119	269	153	218	20	751	403	197	372	418	119	269	120	381	171	14	733	2	4	2	0.67	0.52	98.26	103.34	98.89	96.72	98.48	-8.575	-2.468	97.48	97.52	99.14	6.521	1.876	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r4	F5	F	MDQ2	r4	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	2	2	2	L*H	^[% (*) L*H %]	^[%	%]	V	815	119	418	815	653	653	815	479	596	20	751	493	691	418	653	653	815	461	475	674	14	733	5	5	6	0.32	0.23	98.26	103.34	96.72	96.73	105.13	51.158	14.722	100.53	100.20	99.14	6.521	1.876	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r5	F5	F	MDQ2	r5	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	1	3	1	(*)	^[% (*) L*H %]	^[%	%]	V	776	123	123	405	262	123	262	155	210	2	728	337	171	262	366	123	262	121	320	141	1	746	2	3	2	0.72	0.35	98.22	101.94	97.79	96.50	97.65	-7.035	-2.025	96.95	96.92	98.77	6.38	1.836	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r5	F5	F	MDQ2	r5	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	2	2	2	L*H	^[% (*) L*H %]	^[%	%]	V	776	123	405	776	623	623	776	471	582	2	728	484	664	405	623	623	776	471	485	679	1	746	5	5	6	0.36	0.27	98.22	101.94	97.32	97.40	104.48	47.657	13.714	100.43	99.90	98.77	6.38	1.836	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r6	F5	F	MDQ2	r6	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	1	3	1	(*)	^[% (*) L*H %]	^[%	%]	V	782	106	106	411	261	106	261	152	207	17	737	203	284	106	261	261	365	133	190	275	13	744	2	2	3	0.63	0.22	98.30	103.59	98.22	97.98	97.89	-0.899	-0.259	97.92	97.91	99.41	7.329	2.109	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r6	F5	F	MDQ2	r6	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	2	2	2	L*H	^[% (*) L*H %]	^[%	%]	V	782	106	411	782	644	644	782	469	596	17	737	485	688	411	644	644	782	458	474	687	13	744	5	5	6	0.32	0.32	98.30	103.59	98.37	98.39	104.79	37.236	10.715	101.03	100.72	99.41	7.329	2.109	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r7	F5	F	MDQ2	r7	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	1	3	1	(*)	^[% (*) L*H %]	^[%	%]	V	813	101	101	416	256	101	256	142	199	8	757	400	155	360	416	101	256	127	384	142	6	739	2	4	2	0.71	0.35	98.12	103.71	98.51	95.88	98.55	-11.22	-3.229	97.27	97.34	98.99	7.939	2.285	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ2_r7	F5	F	MDQ2	r7	YOU LIVE in the VALLey	132	MDQ2_132	?	?	?	?	6	1	2	2	2	2	L*H	^[% (*) L*H %]	^[%	%]	V	813	101	416	813	657	657	813	479	615	8	757	489	706	416	657	657	813	461	471	686	6	739	5	5	6	0.30	0.31	98.12	103.71	96.37	96.49	104.90	45.921	13.215	101.19	102.05	98.99	7.939	2.285	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
F5_MDQ3_2	F5	F	MDQ3	2	You've HIDDen the VALuables	133	MDQ3_133	?	?	?	?	7	1	2	1	3	2	(*)	% (*) L*^[H] L%	%	L%	V	1036	114	114	384	255	255	341	160	204	4	835	156	195	114	255	114	255	187	183	230	5	909	2	2	2	0.30	0.57	93.13	96.26	93.28	93.15	93.75	12.606	3.628	93.61	93.68	94.60	10.106	2.908	92.292	3.475	85.542	91.558	C:/Users/antoi/Github/PhD/3_Recordings/Analysis_1_standard/F5/sentence_modes/
